#Table1
objid,ra,dec,u,g,r,i,z
1237667540679852878,150.084196180615,20.0242083898117,22.8126,21.65183,21.24432,21.20452,20.73042
1237667540679853000,149.989721000003,19.9558216165839,25.34618,24.28689,22.45253,22.19797,22.34164
1237667540679853006,150.001403017838,19.9200376748753,23.80308,23.46906,22.63922,22.35053,22.23955
1237667540679853010,149.976768443871,20.0251567792319,25.33301,24.31911,23.06687,22.1616,22.2377
1237667540679853014,150.006940633384,19.9233680608333,23.30733,23.52283,22.71865,22.78012,21.31966
1237667540679853016,149.990731053162,19.9882841130196,23.64825,23.93844,22.9035,24.87192,23.05344
1237667540679853018,150.007547910525,19.9322828507027,24.9258,24.02349,22.53233,22.07542,21.96423
1237667540679853033,149.995088416331,20.0099988264362,24.59812,24.73001,22.86185,21.35848,20.30837
1237667540679853034,149.994169205023,20.0160405811823,24.4824,23.25404,23.05564,22.88773,22.54831
1237667540679853037,149.997970606448,20.0059083267826,24.78339,23.96293,22.50787,22.37701,21.59072
1237667540679853043,149.995014489822,20.0216376929169,23.06827,23.42837,22.50275,22.48009,22.06647
1237667540679853047,150.019262802258,19.9382946481653,25.4862,23.81618,21.93931,21.37382,20.65718
1237667540679853058,150.030072849741,19.9252641407952,24.30029,23.77403,22.5257,21.40563,21.17029
1237667540679853060,150.008550097957,20.0075745504978,23.76888,24.90207,23.11048,24.13918,23.37637
1237667540679853079,150.017646916451,20.0278899938156,24.90256,23.50942,22.30108,20.95265,20.09003
1237667540679853086,150.043334788503,19.9410369744049,24.31208,23.77458,22.33943,20.76557,19.84065
1237667540679853088,150.037504424976,19.9658240257864,25.17677,23.41304,22.62504,22.18289,22.00393
1237667540679853154,150.044903211743,20.0383324759886,23.6271,24.95404,22.35449,21.65909,20.94472
1237667540679853170,150.065335232495,19.9945019962957,24.6561,23.5276,22.47311,21.76498,21.61342
1237667540679853173,150.065200722207,19.998773682156,23.84259,24.49129,22.62308,21.55602,21.18183
1237667540679853195,150.080862636473,19.9787851809146,25.87064,23.22771,23.31295,22.11574,21.81063
1237667540679853196,150.079870382208,19.9780951068862,23.19031,23.39674,22.96665,22.91726,22.90016
1237667540679853216,150.071396652687,20.0355255355517,23.50323,23.34784,22.97628,22.62427,21.97483
1237667540679853221,150.084778061008,19.9936570842576,23.59443,24.2457,22.96316,23.25034,21.44757
1237667540679853362,149.992719957521,19.9431585895983,25.51299,23.48646,25.21256,22.47204,22.71149
1237667540679853367,149.988819311255,19.9732098619138,24.19083,23.36128,22.98753,22.41259,22.15463
1237667540679853371,150.012267010108,19.9349979643696,23.1738,23.42654,23.2022,22.27054,21.41897
1237667540679853374,149.998820463436,19.9946765529838,23.23429,23.71492,23.12504,22.23802,22.14328
1237667540679853396,150.030216055429,20.0160858393216,24.08652,24.00295,23.81394,22.43127,22.49623
